rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
201711017101238,NRCH,,04:55,,,04:55,,,,,,,,,,,,04:55,,
201711017101238,NRCHTPJ,,,,04:56,,,,,04:56,,,,,,,,,,
201711017101238,TRWSSBJ,,,,04:56:30,,,,,04:56,,,,,,,,,,
201711017101238,TROWSEJ,,,,04:57:30,,,,,,,,,,,,04:57,,,
201711017101238,TROWLKJ,,,,04:58,,,,,04:58,,,,,,,,,,
201711017101238,DISS,05:13,05:14,05:12:30,,05:14,,,,,,,,,,05:12,,05:14,,
201711017101238,HAGHLYJ,,,,05:22:30,,,,,,,,,,,,05:23,,,
201711017101238,STWMRKT,05:26,05:27,05:26,,05:27:30,,,,,,,,,,05:26,,05:27,,
201711017101238,IPSWEPJ,,,,05:37,,,,,05:35,,,,,,,,,,
201711017101238,IPSWESJ,,,,05:38,,,,,,,,,,,,05:36,,,
201711017101238,IPSWICH,05:40,05:42,05:40,,05:42,,,,,,,,,,05:37,,05:41,,
201711017101238,IPSWHJN,,,,05:44,,,,,,,,,,,,05:43,,,
201711017101238,MANNGTR,05:52,05:53,05:52,,05:53:30,,,,,,,,,,05:51,,05:53,,
201711017101238,CLCHSTR,06:03,06:05,06:03,,06:05,,,,,,,,,,06:01,,06:04,,
201711017101238,MRKSTEY,,,,06:09:30,,,,,,,,,,,,06:09,,,
201711017101238,WITHAME,,,,06:15:30,,,,,,,,,,,,06:15,,,
201711017101238,CHLMSFD,,,,06:21:30,,,,,,,,,,,,06:21,,,
201711017101238,SHENFLD,,,,06:30,,,,,,,,,,,,06:29,,,
201711017101238,BRTWOOD,,,,06:31,,,,,06:30,,,,,,,,,,
201711017101238,HRLDWOD,,,,06:34,,,,,06:33,,,,,,,,,,
201711017101238,GIDEAPK,,,,06:35:30,,,,,,,,,,,,06:35,,,
201711017101238,ROMFORD,,,,06:36,,,,,,,,,,,,06:35,,,
201711017101238,CHDWLHT,,,,06:38,,,,,,,,,,,,06:37,,,
201711017101238,GODMAYS,,,,06:38:30,,,,,,,,,,,,06:38,,,
201711017101238,SVNKNGS,,,,06:39,,,,,,,,,,,,06:39,,,
201711017101238,ILFORD,,,,06:40,,,,,,,,,,,,06:40,,,
201711017101238,FRSTGTJ,,,,06:41:30,,,,,,,,,,,,06:41,,,
201711017101238,MANRPK,,,,06:41,,,,,06:41,,,,,,,,,,
201711017101238,FRSTGT,,,,06:42,,,,,06:42,,,,,,,,,,
201711017101238,STFD,06:44,,06:44,,06:45,,,,,,,,,,06:45,,06:47,,
201711017101238,BOWJ,,,,06:49,,,,,,,,,,,,06:49,,,
201711017101238,BTHNLGR,,,,06:51,,,,,,,,,,,,06:51,,,
201711017101238,LIVST,06:54,,06:54,,,,,,,,,,,,06:55,,,,
201711017101245,NRCH,,05:25,,,05:25,,,,,,,,,,,,05:25,,
201711017101245,NRCHTPJ,,,,05:26,,,,,05:26,,,,,,,,,,
201711017101245,TRWSSBJ,,,,05:26:30,,,,,05:26,,,,,,,,,,
201711017101245,TROWSEJ,,,,05:27:30,,,,,,,,,,,,05:28,,,
201711017101245,DISS,05:43,05:44,05:42:30,,05:44,,,,,,,,,,05:42,,05:44,,
201711017101245,HAGHLYJ,,,,05:52:30,,,,,,,,,,,,05:53,,,
201711017101245,STWMRKT,05:56,05:57,05:56,,05:57:30,,,,,,,,,,05:56,,05:58,,
201711017101245,IPSWEPJ,,,,06:07,,,,,06:07,,,,,,,,,,
201711017101245,IPSWESJ,,,,06:08,,,,,,,,,,,,06:07,,,
201711017101245,IPSWICH,06:10,06:12,06:10,,06:12,,,,,,,,,,06:09,,06:11,,
201711017101245,IPSWHJN,,,,06:14,,,,,,,,,,,,06:13,,,
201711017101245,MANNGTR,06:22,06:23,06:22,,06:23:30,,,,,,,,,,06:22,,06:24,,
201711017101245,CLCHSTR,06:33,06:35,06:33,,06:35,,,,,,,,,,06:31,,06:34,,
201711017101245,MRKSTEY,,,,06:39:30,,,,,,,,,,,,06:39,,,
201711017101245,WITHAME,,,,06:45:30,,,,,,,,,,,,06:44,,,
201711017101245,CHLMSFD,,,,06:51:30,,,,,,,,,,,,06:51,,,
201711017101245,SHENFLD,,,,07:00,,,,,,,,,,,,07:00,,,
201711017101245,BRTWOOD,,,,07:01,,,,,07:01,,,,,,,,,,
201711017101245,GIDEAPK,,,,07:06:30,,,,,,,,,,,,07:05,,,
201711017101245,HRLDWOD,,,,07:05,,,,,07:05,,,,,,,,,,
201711017101245,ROMFORD,,,,07:07,,,,,,,,,,,,07:06,,,
201711017101245,CHDWLHT,,,,07:09,,,,,,,,,,,,07:08,,,
201711017101245,GODMAYS,,,,07:09:30,,,,,,,,,,,,07:08,,,
201711017101245,SVNKNGS,,,,07:10,,,,,,,,,,,,07:09,,,
201711017101245,ILFORD,,,,07:11,,,,,,,,,,,,07:10,,,
201711017101245,FRSTGTJ,,,,07:12:30,,,,,,,,,,,,07:11,,,
201711017101245,MANRPK,,,,07:12,,,,,07:11,,,,,,,,,,
201711017101245,FRSTGT,,,,07:13,,,,,07:11,,,,,,,,,,
201711017101245,STFD,07:15,,07:15,,07:16,,,,,,,,,,07:15,,07:17,,
201711017101245,BOWJ,,,,07:20,,,,,,,,,,,,07:18,,,
201711017101245,BTHNLGR,,,,07:22,,,,,,,,,,,,07:20,,,
201711017101245,LIVST,07:27,,07:25,,,,,,,,,,,,07:26,,,,
201711017101251,NRCH,,05:55,,,05:55,,,,,,,,,,,,05:55,,
201711017101251,NRCHTPJ,,,,05:56,,,,,05:56,,,,,,,,,,
201711017101251,TRWSSBJ,,,,05:56:30,,,,,05:56,,,,,,,,,,
201711017101251,TROWSEJ,,,,05:57:30,,,,,,,,,,,,05:57,,,
201711017101251,DISS,06:13,06:14,06:12:30,,06:14,,,,,,,,,,06:12,,06:15,,
201711017101251,HAGHLYJ,,,,06:22:30,,,,,,,,,,,,06:23,,,
201711017101251,STWMRKT,06:26,06:27,06:26,,06:27:30,,,,,,,,,,06:26,,06:27,,
201711017101251,IPSWEPJ,,,,06:37,,,,,06:36,,,,,,,,,,
201711017101251,IPSWESJ,,,,06:38,,,,,,,,,,,,06:36,,,
201711017101251,IPSWICH,06:40,06:42,06:40,,06:42,,,,,,,,,,06:37,,06:42,,
201711017101251,IPSWHJN,,,,06:44,,,,,,,,,,,,06:44,,,
201711017101251,MANNGTR,06:52,06:53,06:52,,06:53:30,,,,,,,,,,06:51,,06:53,,
201711017101251,CLCHSTR,07:03,07:05,07:03,,07:05,,,,,,,,,,07:03,,07:05,,
201711017101251,MRKSTEY,,,,07:09:30,,,,,,,,,,,,07:10,,,
201711017101251,WITHAME,,,,07:15:30,,,,,,,,,,,,07:15,,,
201711017101251,CHLMSFD,,,,07:22:30,,,,,,,,,,,,07:24,,,
201711017101251,SHENFLD,,,,07:31:30,,,,,,,,,,,,07:33,,,
201711017101251,BRTWOOD,,,,07:33,,,,,07:35,,,,,,,,,,
201711017101251,GIDEAPK,,,,07:38,,,,,,,,,,,,07:38,,,
201711017101251,HRLDWOD,,,,07:36,,,,,07:38,,,,,,,,,,
201711017101251,ROMFORD,,,,07:38:30,,,,,,,,,,,,07:39,,,
201711017101251,CHDWLHT,,,,07:40,,,,,,,,,,,,07:41,,,
201711017101251,GODMAYS,,,,07:41,,,,,,,,,,,,07:41,,,
201711017101251,SVNKNGS,,,,07:41:30,,,,,,,,,,,,07:42,,,
201711017101251,ILFORD,,,,07:42:30,,,,,,,,,,,,07:43,,,
201711017101251,MANRPK,,,,07:43,,,,,07:43,,,,,,,,,,
201711017101251,FRSTGTJ,,,,07:44,,,,,,,,,,,,07:44,,,
201711017101251,FRSTGT,,,,07:44:30,,,,,07:44,,,,,,,,,,
201711017101251,STFD,,,,07:46:30,,,,,,,,,,,,07:48,,,
201711017101251,BOWJ,,,,07:50:30,,,,,,,,,,,,07:49,,,
201711017101251,BTHNLGR,,,,07:52:30,,,,,,,,,,,,07:51,,,
201711017101251,LIVST,07:58,,07:56,,,,,,,,,,,,07:54,,,,
201711017101256,NRCH,,06:22,,,06:22,,,,,,,,,,,,06:22,,
201711017101256,NRCHTPJ,,,,06:23,,,,,06:23,,,,,,,,,,
201711017101256,TRWSSBJ,,,,06:23:30,,,,,06:24,,,,,,,,,,
201711017101256,TROWSEJ,,,,06:24:30,,,,,,,,,,,,06:25,,,
201711017101256,DISS,06:39,06:40,06:38:30,,06:40,,,,,,,,,,06:39,,06:41,,
201711017101256,HAGHLYJ,,,,06:48:30,,,,,,,,,,,,06:50,,,
201711017101256,STWMRKT,06:51,06:52,06:51,,06:52:30,,,,,,,,,,06:53,,06:54,,
201711017101256,IPSWEPJ,,,,07:02,,,,,07:02,,,,,,,,,,
201711017101256,IPSWESJ,,,,07:03,,,,,,,,,,,,07:04,,,
201711017101256,IPSWICH,07:05,07:07,07:05,,07:07,,,,,,,,,,07:05,,07:07,,
201711017101256,IPSWHJN,,,,07:09,,,,,,,,,,,,07:10,,,
201711017101256,MANNGTR,07:17,07:18,07:17,,07:18:30,,,,,,,,,,07:17,,07:19,,
201711017101256,CLCHSTR,07:28,07:30,07:28,,07:30,,,,,,,,,,07:26,,07:29,,
201711017101256,MRKSTEY,,,,07:34:30,,,,,,,,,,,,07:34,,,
201711017101256,WITHAME,,,,07:40:30,,,,,,,,,,,,07:39,,,
201711017101256,CHLMSFD,,,,07:46:30,,,,,,,,,,,,07:46,,,
201711017101256,SHENFLD,,,,07:56:30,,,,,,,,,,,,07:57,,,
201711017101256,BRTWOOD,,,,07:58,,,,,07:58,,,,,,,,,,
201711017101256,HRLDWOD,,,,08:01,,,,,08:01,,,,,,,,,,
201711017101256,GIDEAPK,,,,08:03,,,,,,,,,,,,08:02,,,
